seq_idx	Date	Location	PANGO	Nextstrain	MutationCount	NCount	GapCount
0	20200126	China	A	19B	4	0	1
1	20200128	China	A	19B	4	0	1
2	20200128	China	A	19B	5	0	1
3	20200128	China	A	19B	4	0	1
4	20200225	China	A	19B	12	0	1
5	20200129	China	B	19A	3	0	1
6	20200129	China	B	19A	3	0	1
7	20200129	China	A	19B	7	0	1
8	20200129	China	A	19B	7	0	1
9	20200202	China	A	19B	4	0	1
10	20200124	China	B	19A	3	0	1
11	20200124	China	B	19A	3	0	1
12	20200207	China	B.28	19A	2	0	1
13	20200208	China	A	19B	5	0	1
14	20200210	China	A	19B	5	0	1
15	20200103	China	B	19A	1	0	1
16	20200211	China	B	19A	0	0	1
17	20200208	China	B	19A	3	0	1
18	20200211	China	B	19A	3	0	1
19	20200205	China	B.4	19A	6	0	1
20	20200201	China	B	19A	0	0	1
21	20200204	China	B.4	19A	4	0	1
22	20200201	China	B	19A	2	0	1
23	20200131	China	B	19A	3	0	1
24	20200312	China	B.1	20C	5	0	1
25	20200313	China	B	19A	0	0	1
26	20200316	China	B.1.153	19A	2	0	1
27	20200312	China	A.2	19B	7	0	1
28	20200307	China	B.1	20A	6	0	1
29	20200319	China	B.1	20A	8	0	1
30	20200324	China	B.1	19A	5	0	1
31	20200315	China	B.1.153	19A	2	0	1
32	20200319	China	B.1.1	20B	11	0	1
33	20200318	China	B.1.1	20B	11	0	1
34	20200320	China	B.1.1	20B	10	0	1
35	20200312	China	B.4	19A	6	0	1
36	20200305	China	B.1	20A	6	0	1
37	20200306	China	B.1	20A	5	0	1
38	20200307	China	B.1	20A	6	0	1
39	20200304	China	B	19A	0	0	1
40	20200319	China	B.1.1	20B	7	0	1
41	20200322	China	B.1.153	19A	2	0	1
42	20200312	China	B.6.7	19A	4	0	1
43	20200316	China	B.6	19A	5	0	1
44	20200322	China	B.1.1	20B	8	0	1
45	20200321	China	B.1	20A	6	0	1
46	20200229	China	B	19A	0	0	1
47	20200319	China	B.1	20C	8	0	1
48	20200319	China	B.1	19A	4	0	1
49	20200322	China	B.1.153	19A	2	0	1
50	20200205	China	B	19A	3	0	1
51	20200122	China	B	19A	0	0	1
52	20200611	China	B.1.1	20B	8	0	1
53	20200611	China	B.1.1	20B	7	0	1
54	20200118	China	A	19B	14	0	1
55	20200415	China	B.1	20C	8	0	1
56	20200108	China	B		0	0	1
57	20200124	China	A	19B	5	0	1
58	20200125	China	A	19B	4	0	1
59	20200128	China	A	19B	4	0	1
60	20200128	China	A	19B	5	0	1
61	20200127	China	B	19A	2	0	1
62	20200129	China	A	19B	7	0	1
63	20200126	China	B	19A	1	0	1
64	20200118	China	B	19A	1	0	1
65	20200121	China	A	19B	5	0	1
66	20200123	China	B	19A	0	0	1
67	20200122	China	B	19A	2	0	1
68	20200122	China	B	19A	1	0	1
69	20200122	China	B	19A	1	0	1
70	20200122	China	B	19A	1	0	1
71	20200123	China	A	19B	4	0	1
72	20200121	China	A	19B	3	0	1
73	20200313	China	B.1	20C	6	0	1
74	20200315	China	B.1.1.28	20B	7	0	1
75	20200316	China	B.1.1.28	20B	7	0	1
76	20200321	China	B.1.1.71	20B	7	0	1
77	20200322	China	B.1	20C	6	0	1
78	20200319	China	B.6	19A	7	0	1
79	20200318	China	B.6	19A	7	0	1
80	20200205	China	A	19B	5	0	1
81	20200205	China	A	19B	5	0	1
82	20200210	China	B	19A	3	0	1
83	20200224	China	B	19A	4	0	20
84	20200125	China	A	19B	2	0	1
85	20200130	China	A	19B	3	0	1
86	20200131	China	B	19A	5	0	1
87	20200130	China	A	19B	2	0	1
88	20200130	China	B	19B	3	0	1
89	20200114	China	A	19B	3	0	1
90	20200115	China	A	19B	3	0	1
91	20200115	China	B	19A	1	0	1
92	20200115	China	A	19B	3	0	1
93	20200117	China	B	19A	1	0	1
94	20200118	China	B	19A	1	0	1
95	20200129	China	B	19B	5	0	1
96	20200130	China	B.28	19A	1	0	1
97	20200121	China	A	19B	6	0	1
98	20200130	China	B	19A	5	0	1
99	20200130	China	B	19A	3	0	1
100	20200121	China	A	19B	3	0	1
101	20200120	China	A	19B	3	0	1
102	20200122	China	B	19A	1	0	1
103	20200123	China	B	19A	0	0	1
104	20200206	China	A	19B	3	0	1
105	20200217	China	A	19B	3	0	1
106	20200125	China	B.28	19A	1	0	1
107	20200124	China	B	19A	2	0	1
108	20200126	China	B	19A	3	0	1
109	20200127	China	B	19A	0	0	1
110	20200127	China	A	19B	2	0	1
111	20200127	China	A	19B	2	0	1
112	20200128	China	B.28	19A	2	0	1
113	20200127	China	B	19A	2	0	1
114	20200128	China	B	19A	2	0	1
115	20200128	China	B	19A	6	0	1
116	20200128	China	A	19B	2	0	1
117	20200201	China	B	19A	2	0	1
118	20200201	China	A	19B	5	0	1
119	20200201	China	B.28	19A	2	0	1
120	20200209	China	B	19A	2	0	1
121	20200213	China	B	19B	5	0	1
122	20200215	China	B	19B	6	0	1
123	20200416	China	B.1	20A	4	0	1
124	20200122	China	B	19A	2	0	1
125	20200207	China	B	19A	1	0	1
126	20200207	China	A	19B	2	0	1
127	20200207	China	B	19A	1	0	1
128	20200207	China	B	19A	1	0	1
129	20200225	China	B	19A	3	0	1
130	20200225	China	A	19B	2	0	1
131	20200205	China	B.1.153	19A	2	0	1
132	20200205	China	A	19B	2	0	1
133	20200205	China	A	19B	2	0	1
134	20200205	China	A	19B	2	0	1
135	20200225	China	B	19A	0	0	1
136	20200201	China	B	19A	1	0	1
137	20200201	China	B	19A	1	0	1
138	20200201	China	B	19A	1	0	1
139	20200201	China	B	19A	1	0	1
140	20200208	China	B.1.153	19A	2	0	1
141	20200208	China	A	19B	2	0	1
142	20200208	China	A	19B	2	0	1
143	20200225	China	B	19B	8	0	1
144	20200225	China	A	19B	2	0	1
145	20200208	China	A	19B	2	0	1
146	20200208	China	A	19B	2	0	1
147	20200225	China	A	19B	2	0	1
148	20200225	China	A	19B	2	0	1
149	20200208	China	A	19B	5	0	1
150	20200208	China	A	19B	5	0	1
151	20200129	China	B	19A	1	0	1
152	20200129	China	B	19A	1	0	1
153	20200129	China	B	19A	1	0	1
154	20200129	China	B	19A	1	0	1
155	20200127	China	B	19A	1	0	1
156	20200211	China	A	19B	2	0	1
157	20200211	China	A	19B	2	0	1
158	20200211	China	A	19B	2	0	1
159	20200211	China	A	19B	2	0	1
160	20200211	China	B	19A	4	0	1
161	20200214	China	A	19B	2	0	1
162	20200214	China	A	19B	2	0	1
163	20200217	China	B	19A	4	0	1
164	20200217	China	A	19B	2	0	1
165	20200220	China	A	19B	2	0	1
166	20200220	China	B	19A	5	0	1
167	20200226	China	B	19A	5	0	1
168	20200205	China	B	19A	2	0	1
169	20200129	China	B	19A	4	0	1
170	20200127	China	B	19B	4	0	1
171	20200205	China	B	19A	5	0	1
172	20200120	China	B	19A	0	0	1
173	20200123	China	B	19A	0	0	1
174	20200123	China	B	19A	0	0	1
175	20200123	China	B	19A	0	0	1
176	20200124	China	B	19A	0	0	1
177	20200121	China	B	19A	0	0	1
178	20200125	China	B	19A	0	0	1
179	20200121	China	B	19A	0	0	1
180	20200125	China	B	19A	0	0	1
181	20200125	China	B	19A	0	0	1
182	20200122	China	B	19A	0	0	1
183	20200122	China	B	19A	0	0	1
184	20200125	China	B	19A	0	0	1
185	20200121	China	B	19A	0	0	1
186	20200121	China	B	19A	0	0	1
187	20200121	China	B	19A	0	0	1
188	20200119	China	B	19A	0	0	1
189	20200120	China	B	19A	2	0	1
190	20200120	China	B	19A	2	0	1
191	20200121	China	B	19A	2	0	1
192	20200121	China	B	19A	0	0	1
193	20200121	China	B	19A	0	0	1
194	20200121	China	B	19A	0	0	1
195	20200121	China	B	19A	0	0	1
196	20200121	China	B	19A	0	0	1
197	20200122	China	B	19A	0	0	1
198	20200305	China	B	19A	0	0	1
199	20200306	China	B	19A	9	0	1
200	20200307	China	B.1	20A	4	0	1
201	20200312	China	B.1	20A	4	0	1
202	20200314	China	B	19A	1	0	1
203	20200315	China	B	19A	9	0	1
204	20200317	China	B.40	19A	5	0	1
205	20200318	China	B.40	19A	5	0	1
206	20200321	China	B.1.153	19A	2	0	1
207	20200322	China	B.1	20A	5	0	1
208	20200324	China	B.1.332	20C	7	0	1
209	20200325	China	B.1	20A	4	0	1
210	20200325	China	B.1	20C	6	0	1
211	20200321	China	B.1.1	20B	7	0	1
212	20200125	China	B	19A	3	0	1
213	20200203	China	B	19A	2	0	1
214	20200204	China	B	19A	1	0	1
215	20200126	China	A		2	0	1
216	20200125	China	B	19A	1	0	1
217	20200124	China	B	19A	0	0	1
218	20200122	China	B		0	0	1
219	20200202	China	B	19A	4	0	1
220	20200203	China	B		5	0	1
221	20200126	China	A	19B	3	0	1
222	20200128	China	B	19A	1	0	1
223	20200313	China	B	19A	4	0	1
224	20200302	China	B	19A	2	0	1
225	20200223	China	B	19A	0	0	1
226	20200224	China	B	19A	2	0	1
227	20200224	China	B	19A	1	0	1
228	20200129	China	B	19A	1	0	1
229	20200129	China	B	19A	2	0	1
230	20200117	China	B	19A	1	0	1
231	20200125	China	B	19A	1	0	1
232	20200128	China	B	19A	3	0	1
233	20200127	China	B	19A	1	0	1
234	20200126	China	B	19A	1	0	1
235	20200215	Japan	B.5	19A	2	0	1
236	20200215	Japan	B	19A	3	0	1
237	20200215	Japan	B	19A	3	0	1
238	20200215	Japan	B	19A	1	0	1
239	20200215	Japan	B	19A	2	0	1
240	20200215	Japan	B	19A	2	0	1
241	20200215	Japan	B	19A	1	0	1
242	20200215	Japan	B	19A	1	0	1
243	20200215	Japan	B	19A	1	0	1
244	20200215	Japan	B	19A	1	0	1
245	20200215	Japan	B	19A	1	0	1
246	20200215	Japan	B	19A	1	0	1
247	20200215	Japan	B	19A	2	0	1
248	20200215	Japan	B	19A	3	0	1
249	20200215	Japan	B	19A	1	0	1
250	20200215	Japan	B	19A	3	0	1
251	20200215	Japan	B.5	19A	2	0	1
252	20200215	Japan	B	19A	2	0	1
253	20200215	Japan	B	19A	3	0	1
254	20200216	Japan	B	19A	1	0	1
255	20200216	Japan	B.5	19A	2	0	1
256	20200216	Japan	B	19A	3	0	1
257	20200216	Japan	B	19A	1	0	1
258	20200216	Japan	B	19A	2	0	1
259	20200216	Japan	B	19A	1	0	1
260	20200216	Japan	B	19A	2	0	1
261	20200216	Japan	B	19A	1	0	1
262	20200216	Japan	B	19A	1	0	1
263	20200216	Japan	B	19A	1	0	1
264	20200216	Japan	B	19A	1	0	1
265	20200216	Japan	B	19A	1	0	1
266	20200216	Japan	B.5	19A	1	0	1
267	20200216	Japan	B	19A	2	0	1
268	20200216	Japan	B	19A	1	0	1
269	20200216	Japan	B	19A	4	0	1
270	20200216	Japan	B.5	19A	2	0	1
271	20200216	Japan	B.5	19A	2	0	1
272	20200216	Japan	B	19A	4	0	1
273	20200216	Japan	B	19A	1	0	1
274	20200217	Japan	B	19A	2	0	1
275	20200217	Japan	B	19A	2	0	1
276	20200217	Japan	B	19A	1	0	1
277	20200217	Japan	B.5	19A	1	0	1
278	20200217	Japan	B	19A	1	0	1
279	20200217	Japan	B.5	19A	5	0	1
280	20200217	Japan	B	19A	2	0	1
281	20200217	Japan	B	19A	1	0	1
282	20200217	Japan	B.5	19A	2	0	1
283	20200217	Japan	B	19A	2	0	1
284	20200217	Japan	B	19A	2	0	1
285	20200217	Japan	B	19A	2	0	1
286	20200217	Japan	B.5	19A	2	0	1
287	20200217	Japan	B.5	19A	3	0	1
288	20200217	Japan	B	19A	1	0	1
289	20200217	Japan	B	19A	1	0	1
290	20200217	Japan	B	19A	1	0	1
291	20200217	Japan	B	19A	2	0	1
292	20200217	Japan	B	19A	1	0	1
293	20200217	Japan	B	19A	1	0	1
294	20200217	Japan	B	19A	1	0	1
295	20200217	Japan	B	19A	1	0	1
296	20200411	Japan	B.12	19A	7	0	4
297	20200416	Japan	B.1.1	20B	8	0	1
298	20200327	Japan	B.12	19A	6	0	4
299	20200507	Japan	B.1.1	20B	9	0	1
300	20200507	Japan	B.1.1	20B	11	0	1
301	20200514	Japan	B.1.1	20B	9	0	1
302	20200415	Japan	B.12	19A	5	0	4
303	20200210	Japan	B	19A	1	0	1
304	20200210	Japan	B.5	19A	1	0	1
305	20200214	Japan	B	19A	3	0	1
306	20200309	Japan	B.12	19A	2	0	1
307	20200323	Japan	B.1	20A	5	0	1
308	None	Japan	B.6	19A	4	0	1
309	None	Japan	B.1	20A	6	0	1
310	None	Japan	B.1.1.117	20B	7	0	1
311	None	Japan	B.1.1.117	20B	7	0	1
312	None	Japan	B.40	19A	7	0	1
313	None	Japan	B.50	19A	6	0	1
314	None	Japan	B.1.1.1	20B	10	0	1
315	None	Japan	B.1.610	20A	4	0	1
316	None	Japan	B	19A	4	0	1
317	None	Japan	B	19A	4	0	1
318	None	Japan	B.1.1	20B	9	0	1
319	None	Japan	B.1.1	20B	6	0	2
320	None	Japan	B.1.1	20B	6	0	1
321	None	Japan	B.1.1	20B	7	0	1
